ID,用語,カテゴリ,出典種別,出典ID,出典箇所,文脈での意味,備考
T-199,一括ステータス変更,操作機能,ローカル仕様書,AD-09 (28_admin_operator_management_requirements.md),§3.4.4,複数オペレーターのステータスを一括変更,Lv4/Lv3。Lv2は自グループLv1のみ
T-200,一括削除,操作機能,ローカル仕様書,AD-09 (28_admin_operator_management_requirements.md),§3.4.5,複数の無効化済みオペレーターを一括論理削除,Lv4限定。文字列入力による二重確認
T-201,グループ作成,操作機能,ローカル仕様書,AD-09 (28_admin_operator_management_requirements.md),§3.5.1,グループ管理モーダルから新規グループを作成,Lv4限定
T-202,グループ編集,操作機能,ローカル仕様書,AD-09 (28_admin_operator_management_requirements.md),§3.5.2,既存グループのグループ名を変更,Lv4限定
T-203,グループ名,データマスタ,ローカル仕様書,AD-09 (28_admin_operator_management_requirements.md),§3.5.1,グループの識別名称,
T-204,グループ削除,操作機能,ローカル仕様書,AD-09 (28_admin_operator_management_requirements.md),§3.5.4,既存グループを削除,Lv4限定。メンバー0名が前提条件
T-205,メンバー追加,操作機能,ローカル仕様書,AD-09 (28_admin_operator_management_requirements.md),§3.5.3,グループに未所属のオペレーターを追加,Lv4限定
T-206,メンバー削除,操作機能,ローカル仕様書,AD-09 (28_admin_operator_management_requirements.md),§3.5.3,グループからオペレーターを削除（グループ離脱のみ）,Lv4限定。オペレーター自体は削除されない
T-207,更新ログ,業務概念,ローカル仕様書,AD-09 (28_admin_operator_management_requirements.md),§3.6.1,AD-09上の全管理者操作を時系列タイムライン表示,サイドバー表示。種別フィルタ可能
T-208,操作ログ,業務概念,ローカル仕様書,AD-09 (28_admin_operator_management_requirements.md),§3.6.2,特定オペレーターへの管理者操作履歴,詳細モーダル内表示
T-209,ログイン履歴,業務概念,ローカル仕様書,AD-09 (28_admin_operator_management_requirements.md),§3.6.3,オペレーターのログイン日時・IP・デバイス・ブラウザ・成功/失敗,最新50件。期間フィルタ可能
T-210,言語マスタ,データマスタ,ローカル仕様書,AD-09 (28_admin_operator_management_requirements.md),§7.3,id, name, sort_order, deleted_at を持つ対応可能言語マスタ,DB直接更新で運用
T-211,グループ,データマスタ,ローカル仕様書,AD-09 (28_admin_operator_management_requirements.md),§2.3,オペレーター所属企業/法人単位（オレンジグループ・アブロード本体・外注先等）,テナント単位として扱い
T-212,オペレーター（総称）,ロール権限,ローカル仕様書,AD-09 (28_admin_operator_management_requirements.md),§1,名刺データ化業務に従事する社内/社外アカウント,Lv1〜Lv4全体の総称
T-213,テナント分離,その他,ローカル仕様書,AD-09 (28_admin_operator_management_requirements.md),§4.4,グループをテナント単位として、Lv2のアクセス範囲をグループ内に限定,
T-214,自グループ,その他,ローカル仕様書,AD-09 (28_admin_operator_management_requirements.md),§3.1.2,Lv2がアクセス可能なグループ（操作者のgroup_id）,
T-215,管理者,ロール権限,ローカル仕様書,AD-09 (28_admin_operator_management_requirements.md),§1.1,社内オペレーション担当/オペレーター管理者（Lv2〜Lv4）,AD-09対象ユーザー総称
T-216,二重確認,操作機能,ローカル仕様書,AD-09 (28_admin_operator_management_requirements.md),§3.2.4,オペレーター削除時に氏名入力、一括削除時に文字列入力,不可逆操作の安全装置
T-217,セッション失効,その他,ローカル仕様書,AD-09 (28_admin_operator_management_requirements.md),§3.2.3,無効化時に対象アカウントの既存セッションを失効,refresh token失効
T-218,再有効化,操作機能,ローカル仕様書,AD-09 (28_admin_operator_management_requirements.md),§3.2.3,無効化済みオペレーターを有効に戻す操作,再認証必須
T-219,本登録,業務概念,ローカル仕様書,AD-09 (28_admin_operator_management_requirements.md),§3.3.1,招待URL経由でパスワード設定を完了し仮アカウントを正規化,
T-220,仮アカウント昇格,操作機能,ローカル仕様書,AD-09 (28_admin_operator_management_requirements.md),§3.3.1,招待URL本登録完了時に仮アカウントを正規アカウントへ昇格,
T-221,情報更新ログ,画面機能,ローカル仕様書,AD-09 (28_admin_operator_management_requirements.md),§3.6.1,更新ログ・サイドバー領域の別名,
T-222,Idempotency-Key,その他,ローカル仕様書,AD-09 (28_admin_operator_management_requirements.md),§6,API多重実行防止用キー,副作用API対象
T-223,複雑度要件,その他,ローカル仕様書,AD-09 (28_admin_operator_management_requirements.md),§3.2.6,パスワード直接設定時のサーバー側複雑度再検証,要件未達時はエラー表示
T-224,なりすましリスク,その他,ローカル仕様書,AD-09 (28_admin_operator_management_requirements.md),§7.2,パスワード直接設定がLv4限定の理由,
T-225,復元,操作機能,ローカル仕様書,AD-09 (28_admin_operator_management_requirements.md),§4.3,論理削除済みオペレーターを有効状態に戻す操作,AD-09では提供しない
T-226,タブ,画面機能,ローカル仕様書,AD-09 (28_admin_operator_management_requirements.md),§2.2,オペレーター詳細モーダル内のセクション切り替えUI,折りたたみセクションの代替可
T-227,折りたたみセクション,画面機能,ローカル仕様書,AD-09 (28_admin_operator_management_requirements.md),§2.2,オペレーター詳細モーダル内のセクション切り替えUI,タブの代替可
T-228,パスワード管理エリア,画面機能,ローカル仕様書,AD-09 (28_admin_operator_management_requirements.md),§2.2,オペレーター詳細モーダル内のパスワード初期化・直接設定領域,
T-229,履歴エリア,画面機能,ローカル仕様書,AD-09 (28_admin_operator_management_requirements.md),§2.2,オペレーター詳細モーダル内のログイン履歴・操作ログ領域,
T-230,基本情報エリア,画面機能,ローカル仕様書,AD-09 (28_admin_operator_management_requirements.md),§2.2,オペレーター詳細モーダル内のID・氏名・メール・所属・権限・言語・ステータス配置領域,
T-231,AD-10 で実績を見る,業務概念,ローカル仕様書,AD-09 (28_admin_operator_management_requirements.md),§2.2,オペレーター詳細モーダルから AD-10実績管理へのリンク,当該オペレーターフィルタ状態で遷移
T-232,AD-10 実績管理,画面機能,ローカル仕様書,AD-09 (28_admin_operator_management_requirements.md),§2.2,オペレーターの処理実績・KPI等を分析する画面,
T-233,全件数,その他,ローカル仕様書,AD-09 (28_admin_operator_management_requirements.md),§6,ページネーション表示対象の全検索結果件数,
T-234,最大100件,その他,ローカル仕様書,AD-09 (28_admin_operator_management_requirements.md),§6,一括操作の同期処理上限,それ以上はバックグラウンド処理
T-235,バックグラウンド処理,操作機能,ローカル仕様書,AD-09 (28_admin_operator_management_requirements.md),§6,一括操作が100件を超える場合の非同期処理,完了通知実装必須
T-236,オレンジグループ,データマスタ,ローカル仕様書,AD-09 (28_admin_operator_management_requirements.md),§2.3,グループの具体例（所属会社単位）,
T-237,アブロード本体,データマスタ,ローカル仕様書,AD-09 (28_admin_operator_management_requirements.md),§2.3,グループの具体例（所属会社単位）,
T-238,外注先 A 社,データマスタ,ローカル仕様書,AD-09 (28_admin_operator_management_requirements.md),§2.3,グループの具体例（所属会社単位）,
T-239,対象オペレーター名,データマスタ,ローカル仕様書,AD-09 (28_admin_operator_management_requirements.md),§3.6.1,操作の対象となったオペレーター氏名,
T-240,日時,データマスタ,ローカル仕様書,AD-09 (28_admin_operator_management_requirements.md),§3.6.1,管理者操作の実行日時,
T-241,理由,データマスタ,ローカル仕様書,AD-09 (28_admin_operator_management_requirements.md),§3.6.2,パスワード直接設定等で入力される操作理由,入力がある場合のみ記録
T-242,成功,状態,ローカル仕様書,AD-09 (28_admin_operator_management_requirements.md),§3.6.3,ログイン成功時の結果,
T-243,失敗,状態,ローカル仕様書,AD-09 (28_admin_operator_management_requirements.md),§3.6.3,ログイン失敗時の結果,
T-244,オペレーター入力画面,画面機能,ローカル仕様書,AD-09 (28_admin_operator_management_requirements.md),§1,BY-211_業務オペレーター向け作業画面,AD-09対象外
T-245,照合画面,画面機能,ローカル仕様書,AD-09 (28_admin_operator_management_requirements.md),§1,BY-221_業務オペレーター向け作業画面,AD-09対象外
T-246,業務用オペレーター管理,画面機能,ローカル仕様書,AD-09 (28_admin_operator_management_requirements.md),§1,BY-231_業務オペレーター向け管理画面,AD-09対象外
T-247,グループ管理ボタン,画面機能,モックアップ,operator-management.html,ヘッダー,グループ管理モーダルを開くボタン,
T-248,オペレーター招待ボタン,画面機能,モックアップ,operator-management.html,ヘッダー,オペレーター招待モーダルを開くボタン,
T-249,オペレーター一覧,画面機能,モックアップ,operator-management.html,メインコンテンツ,テーブル形式のオペレーター一覧表示,ページネーション付き
T-250,選択チェックボックス,画面機能,モックアップ,operator-management.html,テーブル行,オペレーター複数選択用チェックボックス,
T-251,全選択チェック,画面機能,モックアップ,operator-management.html,テーブルヘッダ,全行を一括選択するチェックボックス,
T-252,一括操作セクション,画面機能,モックアップ,operator-management.html,テーブル上部,複数選択時に表示される一括操作ボタン領域,条件付き表示
T-253,一括削除ボタン,画面機能,モックアップ,operator-management.html,一括操作セクション,一括削除実行ボタン,
T-254,一括権限変更ボタン,画面機能,モックアップ,operator-management.html,一括操作セクション,一括権限変更実行ボタン,
T-255,一括所属変更ボタン,画面機能,モックアップ,operator-management.html,一括操作セクション,一括所属変更実行ボタン,
T-256,一括ステータス変更ボタン,画面機能,モックアップ,operator-management.html,一括操作セクション,一括ステータス変更実行ボタン,
T-257,ツールボックス,画面機能,モックアップ,operator-management.html,サイドバー,フィルタ・更新ログを表示する折りたたみパネル,右側固定サイドバー
T-258,フィルター,画面機能,モックアップ,operator-management.html,ツールボックス上部,検索・分類・パフォーマンス条件入力エリア,
T-259,検索欄,画面機能,モックアップ,operator-management.html,フィルター,氏名・メール・IDでの検索入力欄,
T-260,分類,画面機能,モックアップ,operator-management.html,フィルター,権限・所属グループ・言語・ステータスフィルタ,
T-261,パフォーマンス,画面機能,モックアップ,operator-management.html,ツールボックス,総完了件数範囲フィルタ,
T-262,総完了件数,データマスタ,モックアップ,operator-management.html,パフォーマンスフィルタ,処理済み案件数の範囲指定,仕様書では「総処理数」
T-263,リセットボタン,画面機能,モックアップ,operator-management.html,フィルター下部,フィルタ条件をリセット,
T-264,更新ログセクション,画面機能,モックアップ,operator-management.html,ツールボックス下部,管理者操作を時系列表示,
T-265,ソートボタン,画面機能,モックアップ,operator-management.html,テーブルヘッダ,昇順・降順・解除を切り替え,
T-266,表示件数セレクト,画面機能,モックアップ,operator-management.html,テーブル下部,25/50/100件表示を切り替え,
T-267,ページネーション,画面機能,モックアップ,operator-management.html,テーブル下部,ページ切り替えナビゲーション,
T-268,グループ作成タブ,画面機能,モックアップ,groupManagementModal.html,モーダルヘッダ,新しいグループを作成するタブ,
T-269,グループ編集タブ,画面機能,モックアップ,groupManagementModal.html,モーダルヘッダ,既存グループを編集するタブ,
T-270,グループ名入力欄,画面機能,モックアップ,groupManagementModal.html,グループ作成タブ,グループ名を入力するテキスト欄,
T-271,作成ボタン,画面機能,モックアップ,groupManagementModal.html,グループ作成タブ,グループ作成実行ボタン,
T-272,グループ選択ドロップダウン,画面機能,モックアップ,groupManagementModal.html,グループ編集タブ,編集対象グループを選択,
T-273,グループ編集コンテナ,画面機能,モックアップ,groupManagementModal.html,グループ編集タブ,メンバー管理領域（条件付き表示）,
T-274,所属メンバー,画面機能,モックアップ,groupManagementModal.html,グループ編集コンテナ,選択グループのメンバーオペレーター一覧,
T-275,メンバー追加コントロール,画面機能,モックアップ,groupManagementModal.html,グループ編集コンテナ,未所属オペレーター追加UI,
T-276,メンバーセレクト,画面機能,モックアップ,groupManagementModal.html,メンバー追加コントロール,未所属オペレーターのドロップダウン,
T-277,追加ボタン,画面機能,モックアップ,groupManagementModal.html,メンバー追加コントロール,メンバーをグループに追加,
T-278,グループを削除ボタン,画面機能,モックアップ,groupManagementModal.html,グループ編集コンテナ下部,グループ削除実行ボタン,
T-279,実績管理,画面機能,モックアップ,performance-management.html,ページタイトル,システムの実績管理機能を示す主画面,
T-280,CSV出力,操作機能,モックアップ,performance-management.html,ヘッダーボタン,データをCSV形式でダウンロード,「CSVエクスポート」とワードチョイス違い
T-281,指標設定,操作機能,モックアップ,performance-management.html,ヘッダーボタン,KPIやパラメータの設定を行う機能,
T-282,絞り込み条件,画面機能,モックアップ,performance-management.html,フィルタエリア,データを条件で絞り込むアコーディオン,
T-283,キーワード検索,操作機能,モックアップ,performance-management.html,絞り込み条件,名前・ID・所属グループなどで検索,
T-284,対象期間,操作機能,モックアップ,performance-management.html,絞り込み条件（個人・グループ共通）,検索対象の期間範囲を指定,
T-285,稼働状態,状態,モックアップ,performance-management.html,フィルタ（個人単位）,稼働中か未稼働かの状態分類,
T-286,稼働あり,状態,モックアップ,performance-management.html,稼働状態オプション,アクティブに稼働している状態,
T-287,未稼働,状態,モックアップ,performance-management.html,稼働状態オプション,稼働実績がない状態,
T-288,展示会・案件,データマスタ,モックアップ,performance-management.html,フィルタ（個人単位）,プロジェクト・イベント分類,
T-289,グループ（フィルタ）,データマスタ,モックアップ,performance-management.html,フィルタ（個人単位）,組織的なグループ分け,
T-290,達成状況,状態,モックアップ,performance-management.html,フィルタ（個人単位）,KPI達成の可否を示す状態,
T-291,達成,状態,モックアップ,performance-management.html,達成状況オプション,KPIを達成した状態,
T-292,未達,状態,モックアップ,performance-management.html,達成状況オプション,KPIに達しなかった状態,
T-293,品質レベル,データマスタ,モックアップ,performance-management.html,フィルタ（個人単位）,正確さに基づく品質分類,
T-294,高品質,状態,モックアップ,performance-management.html,品質レベルオプション,99%以上の正確さの状態,
T-295,要注意（品質）,状態,モックアップ,performance-management.html,品質レベルオプション,95%未満の正確さで注意が必要,AD-02「要注意」（管理フラグ）とワードチョイス同・文脈違い
T-296,グループ名検索,操作機能,モックアップ,performance-management.html,絞り込み条件（グループ単位）,グループ名でデータを検索,
T-297,パフォーマンス（指標）,状態,モックアップ,performance-management.html,フィルタ（グループ単位）,グループの業務成績評価分類,
T-298,優秀層,状態,モックアップ,performance-management.html,パフォーマンスオプション,業績が優れているグループ,Starと同義
T-299,Star,状態,モックアップ,performance-management.html,パフォーマンスオプション,優秀なパフォーマンス評価ラベル,優秀層と同義
T-300,要改善,状態,モックアップ,performance-management.html,パフォーマンスオプション,改善が必要なグループ,Criticalと同義
T-301,Critical,状態,モックアップ,performance-management.html,パフォーマンスオプション,要改善な評価ラベル,要改善と同義
T-302,グループ規模,データマスタ,モックアップ,performance-management.html,フィルタ（グループ単位）,グループの構成人数による分類,
T-303,大規模,状態,モックアップ,performance-management.html,グループ規模オプション,多くの構成員を持つグループ,
T-304,中規模,状態,モックアップ,performance-management.html,グループ規模オプション,中程度の構成員数のグループ,
T-305,小規模,状態,モックアップ,performance-management.html,グループ規模オプション,少数の構成員のグループ,
T-306,コスパ,データマスタ,モックアップ,performance-management.html,フィルタ（グループ単位）,コスト・パフォーマンス指標,
T-307,CPY,業務概念,モックアップ,performance-management.html,フィルタ・モーダル,コスト・パフォーマンスの短縮形,
T-308,良い,状態,モックアップ,performance-management.html,コスパオプション,コスパが1.0以上の状態,
T-309,普通,状態,モックアップ,performance-management.html,コスパオプション,中程度のコスパ状態,
T-310,悪い,状態,モックアップ,performance-management.html,コスパオプション,コスパが0.8未満の状態,
T-311,納期遵守率,データマスタ,モックアップ,performance-management.html,フィルタ（グループ単位）,納期を守った業務の割合,
T-312,100%,状態,モックアップ,performance-management.html,納期遵守率オプション,納期遵守が完全な状態,
T-313,98%未満,状態,モックアップ,performance-management.html,納期遵守率オプション,納期遵守率が低い状態,
T-314,条件をリセット,操作機能,モックアップ,performance-management.html,フィルタエリア,設定された絞り込み条件をクリア,
T-315,個人単位,画面機能,モックアップ,performance-management.html,タブ,オペレーター個人ごとの実績表示,
T-316,グループ単位,画面機能,モックアップ,performance-management.html,タブ,グループ単位での実績表示,
T-317,指標・パラメータ設定,画面機能,モックアップ,performance-management.html,モーダルタイトル,KPIと計算用単価の設定画面,
T-318,目標KPI,業務概念,モックアップ,performance-management.html,パラメータ設定モーダル,達成すべき目標KPI群,
T-319,目標入力数,データマスタ,モックアップ,performance-management.html,パラメータ設定モーダル,月間で目指す処理枚数,単位:枚/月
T-320,許容エラー率,データマスタ,モックアップ,performance-management.html,パラメータ設定モーダル,許容する最大エラー率,単位:%
T-321,目標平均処理時間,データマスタ,モックアップ,performance-management.html,パラメータ設定モーダル,1枚あたりの目標処理時間,単位:秒/枚
T-322,計算用単価,業務概念,モックアップ,performance-management.html,パラメータ設定モーダル,報酬計算に使う単価群,
T-323,有効作業単価,データマスタ,モックアップ,performance-management.html,パラメータ設定モーダル,有効な作業1枚あたりの単価,単位:円/枚
T-324,管理者修正単価,データマスタ,モックアップ,performance-management.html,パラメータ設定モーダル,管理者が修正した作業の単価,単位:円/枚
T-325,設定を保存,操作機能,モックアップ,performance-management.html,パラメータ設定モーダル,パラメータ変更を確定して保存,
T-326,キャンセル,操作機能,モックアップ,performance-management.html,パラメータ設定モーダル,設定変更を破棄して閉じる,
T-327,オペレーター名,データマスタ,モックアップ,performance-management.html,オペレーター詳細モーダル,個別オペレーターの氏名,
T-328,有効作業数,データマスタ,モックアップ,performance-management.html,オペレーター詳細モーダル,有効な処理を完了した数,
T-329,エラー率,データマスタ,モックアップ,performance-management.html,オペレーター詳細モーダル・グループ詳細,エラーの発生割合,
T-330,推定報酬額,データマスタ,モックアップ,performance-management.html,オペレーター詳細モーダル,オペレーターが受け取る予定の報酬,
T-331,処理枚数 & エラー率推移,画面機能,モックアップ,performance-management.html,オペレーター詳細モーダル・グラフ,処理数とエラー率の時系列推移,
T-332,項目別エラー傾向,画面機能,モックアップ,performance-management.html,オペレーター詳細モーダル・グラフ,項目ごとのエラー発生パターン,
T-333,詳細分析,画面機能,モックアップ,performance-management.html,オペレーター詳細モーダル,オペレーターの詳しい業績分析セクション,
T-334,総入力数,データマスタ,モックアップ,performance-management.html,詳細分析,オペレーターが処理した全枚数,
T-335,平均処理時間,データマスタ,モックアップ,performance-management.html,詳細分析,1枚あたりの平均所要時間,
T-336,修正発生コスト,データマスタ,モックアップ,performance-management.html,詳細分析,エラー修正にかかった推定コスト,
T-337,最終稼働日,データマスタ,モックアップ,performance-management.html,詳細分析,オペレーターが最後に稼働した日付,
T-338,グループ名（詳細）,データマスタ,モックアップ,performance-management.html,グループ詳細モーダル,グループを識別する名称,
T-339,稼働人数,データマスタ,モックアップ,performance-management.html,グループ詳細モーダル,現在稼働中のグループ内メンバー数,
T-340,最大処理能力,データマスタ,モックアップ,performance-management.html,グループ詳細モーダル,グループが処理可能な最大枚数,
T-341,平均品質,データマスタ,モックアップ,performance-management.html,グループ詳細モーダル,グループの平均的な品質指標,
T-342,合計報酬額,データマスタ,モックアップ,performance-management.html,グループ詳細モーダル,グループ全体の報酬総額,
T-343,日次処理数の推移,画面機能,モックアップ,performance-management.html,グループ詳細モーダル・グラフ,グループの日ごとの処理数変化,
T-344,パフォーマンス分布,画面機能,モックアップ,performance-management.html,グループ詳細モーダル・グラフ,グループ内オペレーターの業績分布図,
T-345,所属オペレーター,画面機能,モックアップ,performance-management.html,グループ詳細モーダル,グループに所属するオペレーター一覧,
T-346,課題対象順,操作機能,モックアップ,performance-management.html,所属オペレーター一覧,改善課題の優先度順でソート,
T-347,完了数,データマスタ,モックアップ,performance-management.html,グループ詳細・オペレーター一覧列,完了した処理の枚数,
T-348,Avg Time,データマスタ,モックアップ,performance-management.html,グループ詳細・オペレーター一覧列,平均処理時間,「平均処理時間」と同義
T-349,正確さ,データマスタ,モックアップ,performance-management.html,グループ詳細・オペレーター一覧列,処理品質の正確度,
T-350,報酬額,データマスタ,モックアップ,performance-management.html,グループ詳細・オペレーター一覧列,オペレーターの個別報酬額,
